claim_nbr,order_nbr,contract,license,name,addr,city,state,gpo,invoice_date,invoice_nbr,part,ship_qty,uom,sale,rebate
,2310336854,R705T1,ECHZ,WILSON MEMORIAL HOSPITAL (LUM),33-57 HARRISON ST,JOHNSON CITY,NY,MEDASSETS,03/06/2024,2310336854,648,0.2,CS,31.02,0.0
,2310347686,R705T1,BAIR,WESTCHESTER MEDICAL CENTER - LUM CA,100 WOODS RD,VALHALLA,NY,MEDASSETS,03/06/2024,2310347686,946,1.0,CS,160.5,0.0
,2310260429,R705T1,HFNW,CHILDRENS NATIONAL HOSPITAL(LUM),111 MICHIGAN AVE NW,WASHINGTON,DC,MEDASSETS,03/05/2024,2310260429,646,4.0,CS,505.6,0.0
,2310342810,R705T1,ECFX,UNIVERSITY OF ROCHESTER/STRONG (LUM,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/06/2024,2310342810,648,0.2,CS,31.02,0.0
,2310352710,R705T1,DUCM,HIGHLAND HOSPITAL,1000 SOUTH AVE,ROCHESTER,NY,MEDASSETS,03/06/2024,2310352710,645,0.1,CS,14.49,0.0
,2310358638,R705T1,AUJC,HARRISON MEMORIAL HOSPITAL,1210 KY HIGHWAY 36 E,CYNTHIANA,KY,MEDASSETS,03/05/2024,2310358638,648,0.1,CS,15.5,0.0
,2310345403,R705T1,XMYH,FF THOMPSON HEALTH SYSTEM INC (BULK,350 PARRISH ST,CANANDAIGUA,NY,MEDASSETS,03/06/2024,2310345403,645,0.7,CS,101.43,0.0
,2310266049,R705T1,Q7QB,WMC - LUM ON PALLETS,100 WOODS RD,VALHALLA,NY,MEDASSETS,03/05/2024,2310266049,974,1.0,CS,220.01,0.0
,2310326445,R705T2,RBBA,PROMEDICA TOLEDO HOSPITAL (LUM),2142 N COVE BLVD,TOLEDO,OH,MEDASSETS,03/06/2024,2310326445,946,0.2,CS,31.48,0.0
,2310342816,R705T1,ECFX,UNIVERSITY OF ROCHESTER/STRONG (LUM,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,03/06/2024,2310342816,646,0.3,CS,37.92,0.0
,2310366408,R705T1,T821,BUNKIE GENERAL HOSPITAL,427 EVERGREEN ST,BUNKIE,LA,MEDASSETS,03/07/2024,2310366408,649B,1.0,CS,139.94,0.0
,2310389676,R705T1,6D93,UMUC AT ABERDEEN,660 MCHENRY RD,ABERDEEN,MD,MEDASSETS,03/07/2024,2310389676,656,1.0,CS,139.89,0.0
,2310400285,R705T2,LCAC,UNIV CINCINNATI-WESTCHESTER (LUM),7700 UNIVERSITY DR,WEST CHESTER,OH,MEDASSETS,03/06/2024,2310400285,974,1.0,CS,215.7,0.0
,2310416846,R705T2,SUBS,UNIV CINCINNATI-BCW,3200 BURNET AVE,CINCINNATI,OH,MEDASSETS,03/06/2024,2310416846,974,4.0,CS,862.8,0.0
,2310395133,R705T1,5LRQ,AKRON CHILDRENS HOSPITAL,1 PERKINS SQ,AKRON,OH,MEDASSETS,03/06/2024,2310395133,646,2.0,CS,252.76,0.0
,2310405754,R705T1,JKFF,NCH MD-HEALTHCARE SYSTEM,350 7TH ST N,NAPLES,FL,MEDASSETS,03/07/2024,2310405754,648,1.0,CS,155.04,0.0
,2310405777,R705T1,JKFF,NCH MD-HEALTHCARE SYSTEM,350 7TH ST N,NAPLES,FL,MEDASSETS,03/06/2024,2310405777,648,1.0,CS,155.04,0.0
,2310428620,R705T1,X917,COREWELL HEALTH FARMINGTON HILLS HO,28050 GRAND RIVER AVE,FARMINGTON HILLS,MI,MEDASSETS,03/05/2024,2310428620,656,1.0,CS,139.89,0.0
,2310402928,R705T2,LCAC,UNIV CINCINNATI-WESTCHESTER (LUM),7700 UNIVERSITY DR,WEST CHESTER,OH,MEDASSETS,03/06/2024,2310402928,974,0.2,CS,43.14,0.0
,2310407690,R705T1,Q611,FISHER TITUS MEDICAL CENTER,272 BENEDICT AVE,NORWALK,OH,MEDASSETS,03/06/2024,2310407690,957,1.0,CS,128.21,0.0
,2310411971,R705T1,JBCP,TAMPA GENERAL HOSPITAL-SPD,1 TAMPA GENERAL CIR,TAMPA,FL,MEDASSETS,03/07/2024,2310411971,656,1.2,CS,167.88,0.0
,2310390564,R705T2,W479,UPPER VALLEY MEDICAL CENTER,3130 N COUNTY ROAD 25A,TROY,OH,MEDASSETS,02/26/2024,2310390564,957,3.0,CS,377.1,0.0
,2310407686,R705T1,Q611,FISHER TITUS MEDICAL CENTER,272 BENEDICT AVE,NORWALK,OH,MEDASSETS,02/22/2024,2310407686,957,1.0,CS,128.21,0.0
,2310410955,R705T2,Q641,PROMEDICA FLOWER HOSPITAL,5200 HARROUN RD,SYLVANIA,OH,MEDASSETS,03/06/2024,2310410955,957,1.0,CS,125.7,0.0
,2310447778,R705T1,KN7M,ST LUKES CHESTERFIELD,232 S WOODS MILL RD,CHESTERFIELD,MO,MEDASSETS,03/07/2024,2310447778,956,1.0,CS,158.0,0.0
,2310502241,R705T1,RQL9,EMANUEL HOSPITAL,2801 N GANTENBEIN AVE,PORTLAND,OR,MEDASSETS,03/08/2024,2310502241,646,2.0,CS,252.76,0.0
,2310497442,R705T1,BAIR,WESTCHESTER MEDICAL CENTER - LUM CA,100 WOODS RD,VALHALLA,NY,MEDASSETS,03/07/2024,2310497442,946,1.0,CS,160.5,0.0
,2310563733,R705T1,6NHJ,JOHNSTON SMITHFIELD,514 N BRIGHTLEAF BLVD,SMITHFIELD,NC,MEDASSETS,03/07/2024,2310563733,648,1.0,CS,155.04,0.0
